sighting_id,species,latitude,longitude,year,month
11641,Humpback Whale,33.8319,-118.415,2015,Jan
11641,Humpback Whale,33.8319,-118.415,2015,Jan
12183,Humpback Whale,34.08405,-120.46,2015,Feb
12183,Humpback Whale,34.08405,-120.46,2015,Feb
12183,Humpback Whale,34.08405,-120.46,2015,Feb
12183,Humpback Whale,34.08405,-120.46,2015,Feb
12183,Humpback Whale,34.08405,-120.46,2015,Feb
12224,Humpback Whale,34.08405,-120.46,2015,Feb
12224,Humpback Whale,34.08405,-120.46,2015,Feb
12224,Humpback Whale,34.08405,-120.46,2015,Feb
12224,Humpback Whale,34.08405,-120.46,2015,Feb
12224,Humpback Whale,34.08405,-120.46,2015,Feb
12301,Humpback Whale,34.08405,-120.46,2015,Feb
12301,Humpback Whale,34.08405,-120.46,2015,Feb
12301,Humpback Whale,34.08405,-120.46,2015,Feb
12301,Humpback Whale,34.08405,-120.46,2015,Feb
12301,Humpback Whale,34.08405,-120.46,2015,Feb
12303,Humpback Whale,34.08405,-120.46,2015,Feb
12303,Humpback Whale,34.08405,-120.46,2015,Feb
12303,Humpback Whale,34.08405,-120.46,2015,Feb
12303,Humpback Whale,34.08405,-120.46,2015,Feb
12303,Humpback Whale,34.08405,-120.46,2015,Feb
13041,Blue Whale,36.68279,-121.872,2015,Apr
13042,Humpback Whale,36.72455,-121.876,2015,Apr
13043,Humpback Whale,36.66323,-121.861,2015,Apr
13043,Humpback Whale,36.66323,-121.861,2015,Apr
13043,Humpback Whale,36.66323,-121.861,2015,Apr
13044,Blue Whale,36.65644,-121.864,2015,Apr
13045,Fin Whale,33.73424,-118.363,2015,Apr
13104,Fin Whale,33.65496,-118.336,2015,Apr
13104,Fin Whale,33.65496,-118.336,2015,Apr
13157,Humpback Whale,36.631,-122.036,2015,Apr
13157,Humpback Whale,36.631,-122.036,2015,Apr
13157,Humpback Whale,36.631,-122.036,2015,Apr
13157,Humpback Whale,36.631,-122.036,2015,Apr
13157,Humpback Whale,36.631,-122.036,2015,Apr
13157,Humpback Whale,36.631,-122.036,2015,Apr
13291,Humpback Whale,34.29903,-120.131,2015,Apr
13295,Humpback Whale,34.13308,-119.884,2015,Apr
13295,Humpback Whale,34.13308,-119.884,2015,Apr
13295,Humpback Whale,34.13308,-119.884,2015,Apr
13295,Humpback Whale,34.13308,-119.884,2015,Apr
13635,Humpback Whale,36.72451,-121.856,2015,May
13636,Blue Whale,34.05281,-119.323,2015,May
13743,Humpback Whale,34.29903,-120.131,2015,Apr
13748,Humpback Whale,34.38886,-120.07,2015,May
13748,Humpback Whale,34.38886,-120.07,2015,May
13748,Humpback Whale,34.38886,-120.07,2015,May
13748,Humpback Whale,34.38886,-120.07,2015,May
13804,Humpback Whale,34.3677,-119.9,2015,May
13805,Humpback Whale,36.94863,-121.985,2015,May
13817,Humpback Whale,34.21605,-119.336,2015,May
13821,Humpback Whale,33.65338,-118.321,2015,May
13862,Blue Whale,32.67855,-117.383,2015,Jun
13862,Blue Whale,32.67855,-117.383,2015,Jun
13862,Blue Whale,32.67855,-117.383,2015,Jun
13862,Blue Whale,32.67855,-117.383,2015,Jun
14066,Humpback Whale,37.79135,-122.72,2015,Jun
14066,Humpback Whale,37.79135,-122.72,2015,Jun
14067,Humpback Whale,37.79768,-122.714,2015,Jun
14067,Humpback Whale,37.79768,-122.714,2015,Jun
14068,Humpback Whale,37.79255,-122.743,2015,Jun
14068,Humpback Whale,37.79255,-122.743,2015,Jun
14079,Humpback Whale,34.85633,-120.617,2015,Jun
14079,Humpback Whale,34.85633,-120.617,2015,Jun
14079,Humpback Whale,34.85633,-120.617,2015,Jun
14079,Humpback Whale,34.85633,-120.617,2015,Jun
14079,Humpback Whale,34.85633,-120.617,2015,Jun
14079,Humpback Whale,34.85633,-120.617,2015,Jun
14099,Humpback Whale,34.31861,-119.593,2015,Jun
14099,Humpback Whale,34.31861,-119.593,2015,Jun
14100,Humpback Whale,34.31925,-119.564,2015,Jun
14111,Fin Whale,33.4219,-117.731,2015,Jun
14112,Blue Whale,33.43502,-117.692,2015,Jun
14112,Blue Whale,33.43502,-117.692,2015,Jun
14166,Fin Whale,33.53522,-117.894,2015,Jun
14167,Blue Whale,33.53513,-117.894,2015,Jun
14193,Blue Whale,33.64264,-118.268,2015,Jun
14193,Blue Whale,33.64264,-118.268,2015,Jun
14220,Fin Whale,33.68029,-118.229,2015,Jun
14220,Fin Whale,33.68029,-118.229,2015,Jun
14222,Fin Whale,33.56111,-117.99,2015,Jun
14222,Fin Whale,33.56111,-117.99,2015,Jun
14274,Fin Whale,32.71654,-117.333,2015,Jun
14325,Blue Whale,32.72974,-117.358,2015,Jun
14325,Blue Whale,32.72974,-117.358,2015,Jun
14325,Blue Whale,32.72974,-117.358,2015,Jun
14325,Blue Whale,32.72974,-117.358,2015,Jun
14325,Blue Whale,32.72974,-117.358,2015,Jun
14326,Blue Whale,32.72974,-117.358,2015,Jun
14326,Blue Whale,32.72974,-117.358,2015,Jun
14326,Blue Whale,32.72974,-117.358,2015,Jun
14326,Blue Whale,32.72974,-117.358,2015,Jun
14326,Blue Whale,32.72974,-117.358,2015,Jun
14329,Blue Whale,32.72974,-117.358,2015,Jun
14329,Blue Whale,32.72974,-117.358,2015,Jun
14329,Blue Whale,32.72974,-117.358,2015,Jun
14329,Blue Whale,32.72974,-117.358,2015,Jun
14329,Blue Whale,32.72974,-117.358,2015,Jun
14376,Humpback Whale,34.15795,-119.528,2015,Jun
14378,Humpback Whale,34.19295,-119.431,2015,Jun
14378,Humpback Whale,34.19295,-119.431,2015,Jun
